title,imdbId,imdb_rating
Million Dollar Baby (2004),405159,8.1
Charlie and the Chocolate Factory (2005),367594,6.4
Sin City (2005),401792,6.5
Star Wars: Episode III - Revenge of the Sith (2005),121766,6.6
Mr. & Mrs. Smith (2005),356910,7.7
Batman Begins (2005),372784,8.4
Wedding Crashers (2005),396269,6.7
"40-Year-Old Virgin, The (2005)",405422,6.9
Harry Potter and the Goblet of Fire (2005),330373,7.5
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",363771,6.5
V for Vendetta (2006),434409,8.2
X-Men: The Last Stand (2006),376994,7.4
Pirates of the Caribbean: Dead Man's Chest (2006),383574,7.1
Little Miss Sunshine (2006),449059,7.4
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),443453,6.6
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",457430,8.1
"Departed, The (2006)",407887,8.6
Children of Men (2006),206634,7.9
"Prestige, The (2006)",482571,8.8
Casino Royale (2006),381061,7.8
Blood Diamond (2006),450259,8.0
Ratatouille (2007),382932,8.1
Hot Fuzz (2007),425112,7.9
300 (2007),416449,6.2
Knocked Up (2007),478311,7.1
Pirates of the Caribbean: At World's End (2007),449088,7.4
Harry Potter and the Order of the Phoenix (2007),373889,7.6
"Bourne Ultimatum, The (2007)",440963,7.7
Superbad (2007),829482,7.2
No Country for Old Men (2007),477348,8.4
I Am Legend (2007),480249,7.0
Juno (2007),467406,7.9
"Dark Knight, The (2008)",468569,8.4
Iron Man (2008),371746,6.9
Kung Fu Panda (2008),441773,7.3
WALL·E (2008),910970,8.3
Slumdog Millionaire (2008),1010048,7.9
Inglourious Basterds (2009),361748,8.5
Star Trek (2009),796366,7.7
Up (2009),1049413,8.4
"Hangover, The (2009)",1119646,6.5
Harry Potter and the Half-Blood Prince (2009),417741,7.5
District 9 (2009),1136608,7.9
Zombieland (2009),1156398,6.7
Avatar (2009),499549,7.5
Sherlock Holmes (2009),988045,7.4
Shutter Island (2010),1130884,8.2
How to Train Your Dragon (2010),892769,7.8
Toy Story 3 (2010),435761,8.3
Inception (2010),1375666,8.7
"Social Network, The (2010)",1285016,7.7
"King's Speech, The (2010)",1504320,8.0
"Avengers, The (2012)",848228,7.3
The Hunger Games (2012),1392170,7.5
"Dark Knight Rises, The (2012)",1345836,8.2
Django Unchained (2012),1853728,8.4
"Wolf of Wall Street, The (2013)",993846,8.5
"Grand Budapest Hotel, The (2014)",2278388,8.1
Interstellar (2014),816692,8.8
Guardians of the Galaxy (2014),2015381,7.6
Deadpool (2016),1431045,7.6
